,name,image,team,battingStyle,bowlingStyle,playingRole,description
14,Wanindu Hasaranga de Silva,,Sri Lanka,Right hand Bat,Legbreak,Allrounder,"A bruising lower-middle order batsman, and an aggressive legbreak bowler, Wanidu Hasaranga graduated from a strong Richmond College outfit, had a fine run in Sri Lanka's 2015 and 2016 Under-19 teams, and has made a promising start to his domestic cricket career."
15,Chamika Karunaratne,,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowling Allrounder,
16,Pramod Madushan,,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler,
17,Dushmantha Chameera,,Sri Lanka,Right hand Bat,Right arm Fast,Bowler,"Tall, slim and slippery, Dushmantha Chameera arrived at NCC in 2012, and was quickly marked out as a bowler for the future. First among his virtues is pace, generated from a slightly round-arm action that sacrifices movement. Capable of consistently hitting speeds of over 140 kph, coaches believe he had become the quickest bowler in the country by 23. He had played only a handful of games in his first two seasons, but came into his own in NCC's 2013-14 championship run, claiming 32 first-class cricket at 21.18."
18,Maheesh Theekshana,,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler,
19,Gerhard Erasmus,,Namibia,Right hand Bat,Right arm Offbreak,Allrounder,
20,Bernard Scholtz,,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler,"Bernard Scholtz's brother Nicolaas is currently playing for the national side, but Bernard has his chance to impress at the forthcoming Under-19 World Cup in Malaysia. His aim, he says, is ""to compete against the top teams of the world and get exposure to a higher level of cricket"". And that goal moved a step closer in 2008 when he was named in the squad to face Bermuda in the Intercontinental Cup. He has represented Namibia A and is interested in becoming an engineer. Will Luke August 2008"
21,Ben Shikongo,,Namibia,Right hand Bat,Right arm Medium fast,Bowler,
22,Charith Asalanka,,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder,
23,David Warner,,Australia,Left hand Bat,Legbreak,Opening Batter,David Warner's extraordinary batting feats in all three formats for Australia will forever be overshadowed by his role as the chief protagonist of the Newlands ball-tampering scandal of 2018 and his place as a central figure in Australian cricket's ensuing cultural crisis.
24,Aaron Finch(c),,Australia,Right hand Bat,Slow Left arm Orthodox,Top order Batter,"A solidly built, aggressive batter from a country town in Victoria, Aaron Finch ascended to become Australia's ODI and T20I captain, leading his country to their first T20 World Cup triumph in 2021. "
25,Mitchell Marsh,,Australia,Right hand Bat,Right arm Medium,Allrounder,"Part of one of the most well-known family names in Australian cricket, Mitchell Marsh, an allrounder who can hit 140kph and hard-hitting middle-order batsman, has been an alluring prospect for Australia in all three formats but has struggled to cement his place at international level despite some outstanding performances on the big stage."
26,Glenn Maxwell,,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder,"One of the fastest scorers in world cricket, Glenn Maxwell has lit up the limited-overs formats and, at times, shown he can transfer that to the red ball. It is not just his power that worries opposing bowlers and captains. His ability to make unconventional shots appear routine - reverse sweeps and pulls, for example - makes it hard to set fields to cover all of his scoring areas. His audacity comes with risk, and he can exasperate as well as exhilarate, but at his best he can change a game in moments."
27,Marcus Stoinis,,Australia,Right hand Bat,Right arm Medium,Batting Allrounder,"A powerful, versatile batter and medium-pace bowler, Marcus Stoinis has become a mainstay in Australia's limited-overs sides as well as a dominant player in the BBL and a sought-after player in the IPL. "
28,Josh Hazlewood,,Australia,Left hand Bat,Right arm Fast medium,Bowler,"A tall and accurate fast bowler who is unrelenting in his line and length, Josh Hazlewood became a fixture in Australia's Test attack as soon as he made his debut in December 2014. Although he was only 23 at the time, the baggy green had felt a long time coming, given that Hazlewood had been highly regarded for so long. At 17, he had become the youngest fast bowler to be selected by New South Wales, and at 19 he was in his first one-day international against England at Southampton, joining Craig McDermott and Ray Bright as the only Australian 19-year-olds to play the format so soon. Hazlewood was initially chosen for Australia's Test tour of India in late 2010 but was withdrawn due to a back stress injury, and it was not until four years later that he finally played his first Test, having added significant strength to his 196cm frame."
29,Pat Cummins,,Australia,Right hand Bat,Right arm Fast,Bowler,"Earmarked as a potential star from a young age, Pat Cummins made his Test debut as an 18-year-old but had to wait six years for his next appearance as injuries struck a body that could not withstand the workload. The bowler who emerged in 2017 was a thoroughbred quick who became one of the standout players in the world and, in late 2021, Australia's Test captain in dramatic circumstances."
30,Mitchell Starc,,Australia,Left hand Bat,Left arm Fast,Bowler,"First there was Johnson, then there was Starc. A left-armer called Mitchell has been a staple of Australia's attack for more than a decade and seems set to remain so for the foreseeable future. While Johnson was more express, Starc is still quick enough to make life uncomfortable for opposition batsmen, especially with the bounce gained from his 1.96m height - and boasts greater control of swing than his former colleague. Never was that shown to greater effect than during the 2015 World Cup, when Starc was at times unplayable, his inswingers rattling stumps and trapping batsmen in front throughout the competition. Not surprisingly he was named Player of the Tournament for his 22 victims at 10.18, and four years later he would claim 27 wickets at the World Cup in England when Australia's defence ended in the semi-finals."
31,Ashton Agar,,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler,"Ashton Agar initially turned almost as many heads as he has turned cricket balls. At the age of 19 he had a place in the squads of Western Australia, Perth Scorchers, and the national team, having sensationally been upgraded from an internship on the 2013 tour of India to a more expansive role in Michael Clarke's squad. "
32,Binura Fernando,,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler,"Known for his ability to generate awkward bounce from a height of 6'7"", and swing the ball, Binura Fernando has been among the leading schoolboy-cricket names over the past two years, claiming 84 wickets in the 2013 season. A left-arm seamer, Fernando was called up to Sri Lanka's Test squad during the 2014 home series against Pakistan despite not having played first-class cricket. He was chosen largely on the strength of his performances for DS Senanayake College and the Sri Lanka Under-19 team."
33,Lahiru Kumara,,Sri Lanka,Left hand Bat,Right arm Fast,Bowler,"A robust, right-arm fast bowler from Kandy, Lahiru Kumara had played only eight days of first-class cricket - all of which were for the Sri Lanka A team - before he was selected in the Test squad in October 2016. He was largely picked on his promise. One of the fastest bowlers in Sri Lanka's system, Kumara possesses a sharp bouncer, and an ability to both swing and seam the ball - all allied to a bustling intensity."
34,Dasun Shanaka,,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,"An explosive middle-order batsman, and steady right-arm seam bowler, Dasun Shanaka worked his way into Sri Lanka's T20 side through several seasons of good performances for Sinhalese Sports Club. Born and educated in Negombo, Shanaka made his T20 international debut against Pakistan in August 2015, but it wasn't until the following domestic season that he achieved wide acclaim. Batting at No. 4 in an AIA Premier T20 match against Saracens Sports Club, Shanaka struck a Sri Lankan record 16 sixes in an innings worth 123 from 46 balls. That wasn't even his biggest T20 score of the last week. He had hit 131 off 48 balls against Galle Cricket Club one week earlier."
35,Regis Chakabva,,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A doughty wicketkeeper-batsman, Regis Chakabva's path in cricket took him through Highfields, Churchill, on to Takashinga, provincial cricket and eventually regular appearances in Zimbabwe's Twenty20, ODI and Test teams. At each level, Chakabva has improved his game and he is maturing into a fine batsman and tidy wicketkeeper."
36,Craig Ervine(c),,Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter,"Few people in Zimbabwe cricket circles were surprised when Craig Ervine found his way into Zimbabwe colours. A stylish left-handed middle-order batsman, Ervine hails from a family with a strong cricketing tradition - his father and uncle both played first-class cricket, albeit briefly, in the late 1970s, his older brother Sean had a promising fledgling international career with Zimbabwe before heading to England to become a reliable cog in Hampshire's middle order, and even younger brother Ryan has turned out for the Southern Rocks franchise on occasion."
37,Wessly Madhevere,,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder,
38,Sean Williams,,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,"Sean Williams is a bold, dynamic left-hand batsman, and one of the most striking features about his batting is his proficiency at the reverse-sweep. That shot has occupied a proud position in the repertoire of some of Zimbabwe's finest batsmen: legend has it that Dave Houghton brought up both his hundred and his double with reverse-sweeps in the course of his 266 against Sri Lanka, and Andy Flower used the stroke in an almost profligate manner in many of his memorable innings. Williams is as adept at the stroke as either of these two elder statesmen of Zimbabwean cricket, which he proved during the course of his maiden Test century against New Zealand in Bulawayo in July 2016. Equally astounding was his resolve to overcome sickness and high fever to battle on for over three hours during the course of that knock, in a game in which Zimbabwe were floundering."
39,Sikandar Raza,,Zimbabwe,Right hand Bat,Right arm Offbreak,Batting Allrounder,"Sikandar Raza's story isn't that of your everyday international cricketer. He is not a teenage prodigy, nor is he someone who had a burning ambition to play for his country. He journeyed through from his adolescence to adulthood and stumbled upon the sport he sometimes played as a child, only to discover he is quite good at it."
40,Milton Shumba,,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter,
41,Ryan Burl,,Zimbabwe,Left hand Bat,Legbreak,Middle order Batter,"Ryan Burl liked playing squash when he was at school, but his love of cricket - specifically, the team game's camaraderie - made him want to be an international cricketer. A left-hand lower-middle-order batter and occasional legspinner, Burl broke into the Zimbabwe side in 2017, and has also played in the BPL and Afghanistan's Shpageeza Cricket League."
42,Luke Jongwe,,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,
43,Paul Stirling,,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder,"Paul Stirling has long been recognised as a formidable cricketing talent both in Ireland and beyond. Before his 23rd birthday, he had already hit two ODI centuries against Pakistan. With a natural swagger and belligerence allied to a portly build, Stirling has evoked comparisons with Jesse Ryder. He generates huge power with seemingly little effort and is particularly strong lashing the ball straight or pulling the ball over midwicket. "
44,Andy Balbirnie(c),,Ireland,Right hand Bat,Right arm Offbreak,Batter,"Already one of Ireland's star batters at No. 3, Andrew Balbirnie flourished with the bat even more after he was made captain across formats late in 2019. Although not a power-hitter, Balbirnie is fluent, keeps the score ticking, and is excellent against spin bowling - his hard sweep is a signature shot."
45,Lorcan Tucker,,Ireland,Right hand Bat,,Wicketkeeper Batter,
46,Harry Tector,,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter,Born into a cricketing family - his brothers Jack and Tim also captained Ireland at U19 World Cups - Harry Tector has quietly amassed an impressive record in the senior side since cementing a spot in the post-Covid era. 
47,Curtis Campher,,Ireland,Right hand Bat,Right arm Medium fast,Allrounder,"Born in Johannesburg, raised in South Africa and a player for the national Under-19 side, Curtis Campher decided to leave his homeland behind and put his Irish passport to good use in early 2020, declaring his intentions to move to Ireland and play for the national team. He went on the Ireland Wolves' tour to Namibia early that year, and impressed sufficiently to win a place in the squad for a three-match ODI series in England in July."
48,George Dockrell,,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder,"George Dockrell was identified as a left-arm spinner of rare potential long before he was out of his teens. He made his international debut for Ireland as a 17-year-old in 2010. The accolade was made more remarkable by the fact that he had only been bowling spin for four years, having switched from bowling seam at the age of 13 after coach Brian O'Rourke spotted him bowling spin in a car park during an Ireland age group tour of Wales. "
49,Gareth Delany,,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder,
50,Mark Adair,,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"Mark Adair is a tall, seam-bowling allrounder from Northern Ireland who made his first-class debut for Warwickshire while still a teenager at the end of the 2015 season. From a sporting family - his father was a goalkeeper at a decent level and his brother plays rugby and represented Ireland at cricket at age-group level - Adair also showed promise in rugby but committed to cricket having been offered a trial by Warwickshire in 2013. He has represented Ireland at age-group and A team level and claimed the wicket of Marcus Trescothick as his maiden victim in first-class cricket. He was released by Warwickshire at the end of the 2017 season and has since played for Northern Knights and Durham's second team.

George Dobell"
51,Simi Singh,,Ireland,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder,
52,Barry McCarthy,,Ireland,Right hand Bat,Right arm Fast medium,Bowler,"Barry McCarthy is an Ireland seam bowler whose involvement with Durham owed much to a recommendation by their England allrounder, Ben Stokes, who faced him in the nets before a one-day international and advised his county to take a look. Durham did just that and McCarthy made his first-class debut in 2015. A maiden five-wicket haul for Durham against Lancashire in Chester-le-Street the following year added to the good impression he had built at Ireland Under-19 level and during a spell with the Australian grade side Randwick-Petersham. "
53,Josh Little,,Ireland,Right hand Bat,Left arm Fast medium,Bowler,"A bustling left-arm seamer from Dublin, Josh Little made an immediate impression on ODI debut against England in 2019 when he took 4 for 45 - including the wicket of Eoin Morgan with a sharp bouncer - to leave the world's No. 1-ranked side struggling in an ultimately successful run chase."
54,Richard Ngarava,,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler,
55,Tendai Chatara,,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,"The first thing one notices when watching Tendai Chatara bowl is his curiously lopsided action, his left arm almost glued to his side as he rushes through the crease. But at the other end of that action there have been wickets - and lots of them. A tall, wiry fast bowler with appreciable pace and the ability to move the ball away from the right hander, Chatara has risen quickly to prominence since his first-class debut for Mountaineers in 2009. Naturally athletic, he had represented his home province of Manicaland in 200 and 400 metre events while in high school and soon found his calling in cricket."
56,Blessing Muzarabani,,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,
57,Hazratullah Zazai,,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,Afghanistan's ascent up the global rankings from ICC Associate nation to Full Member and Test status has been largely propelled by a conveyor belt of fast bowling and mystery spin. But the country has struggled to unearth quality batting prospects at the same rate as their bowling unit. The emergence of the hard-hitting Hazratullah Zazai is a sign that this may change early in the country's Full Member era.
58,Rahmanullah Gurbaz,,Afghanistan,Right hand Bat,,Wicketkeeper Batter,
59,Ibrahim Zadran,,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,
60,Usman Ghani,,Afghanistan,Right hand Bat,,Opening Batter,"One of the most exciting new talents to emerge from Afghanistan's cricket programmes in recent years, intrepid opening batsman Usman Ghani was good enough to play one-day international cricket for Afghanistan well before his 18th birthday. Ghani was also good enough to race to a century in his fourth ODI, against Zimbabwe, still aged 17. He started 2014 as part of the Afghanistan Under-19 team that defeated Australia and Sri Lanka in the Under-19 World Cup, and ended it as a member of the squad for Afghanistan's first full World Cup campaign. He warmed up for the tournament with a match-winning hundred against an Auckland team that included Kyle Mills and Mitchell McClenaghan.Liam Brickhill"
61,Najibullah Zadran,,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter,"Najibullah Zadran packs a punch with his bellicose left-hand batting, despite his slight frame. He has followed the same tried and tested route to the national side as many of his generation that came after the initial Afghan cricketing pioneers, with age-group cricket preparing him for the big stage. His ODI debut, against Ireland in Dublin in 2012, was possibly a little premature but Zadran's batting turned a corner in 2014 and he started to look more at home. In July, his second-innings 99 helped Afghanistan beat a strong Zimbabwe A side in an unofficial Test, and in November his unbeaten 32-ball 60 helped set up a 54-run win over Pakistan A in a Twenty match. He started 2015 well with a maiden ODI fifty, a boundary-laden 83 against Ireland, and cruised into Afghanistan's World Cup squad.Liam Brickhill"
62,Mohammad Nabi(c),,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage."
63,Azmatullah Omarzai,,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder,
64,Rashid Khan,,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder,"Rashid Khan has been Afghanistan's first global superstar, and the key to their successes in their early years in international cricket. His extraordinarily effective legspin has made him one of the greatest T20 bowlers ever, among the first names on wishlists of teams in leagues all around the world. "
65,Mujeeb Ur Rahman,,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler,"He can bowl traditional offspin and mix it up with legspin and ripping googlies to make what Afghanistan coach Andy Moles terms a ""complete package"". At just 16, Mujeeb wants to follow in the footsteps of Rashid Khan, his senior by two years. There's plenty of hype surrounding him too, supported by the weight of his performances. "
66,Fareed Ahmad,,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler,
67,Fazalhaq Farooqi,,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler,
68,Jos Buttler(c),,England,Right hand Bat,,Wicketkeeper Batter,"England have had many players down the ages who have gained world acclaim, but Jos Buttler is arguably their first global Twenty20 superstar. Buttler helped bring England's limited-overs batting into the 21st century, his impact on the one-day and T20 sides extraordinary as they turned a group-stage exit in the 2015 World Cup into a triumph on home soil four years later, with his efforts with the bat and the gloves crucial to their Super-Over victory in the final. In an 18-month period from mid-2014, he scored what at the time were England's three fastest one-day hundreds - thrilling innings against Sri Lanka at Lord's, New Zealand at Edgbaston and, topping the list, a 46-ball onslaught against Pakistan in Dubai. He has also shone at the IPL, and has quickly become a senior player in the Test side since his surprise recall in 2018."
69,Alex Hales,,England,Right hand Bat,Right arm Medium,Opening Batter,"Despite a central role in the resurgence of England's limited-overs team following the debacle of the 2015 World Cup, Alex Hales will probably be remembered more for what he missed than what he achieved. He sat out the 2019 World Cup after it emerged he had served a ban for a second drugs test failure for a recreational substance, which seemed to lead the England management and the team's senior players to decide that Hales' behaviour had caused a breakdown of trust between the parties. He was also overlooked for the 2021 T20 World Cup."
70,Dawid Malan,,England,Left hand Bat,Legbreak,Top order Batter,"Dawid Malan made a striking entry into international cricket in a T20I in Cardiff in 2017, demolishing South Africa's attack with 78 from 44 balls. He deposited the second ball, from Chris Morris, over midwicket for six and never looked back."
71,Ben Stokes,https://th.bing.com/th/id/OIP.8RAyswxS3xbpbU6Mk0eVbAHaFL?w=264&h=185&c=7&r=0&o=5&dpr=1.4&pid=1.7,England,Left hand Bat,Right arm Fast medium,Allrounder,"The great Irish sports writer Con Houlihan used to say that every team should have a redhead. And it's true that Ben Stokes' combative nature, allied to his powerful frame and outrageous talent, lifted England to another level. Never was that more true than when he secured his place in English cricket history with an indefatigable batting display in the 2019 World Cup final. In making an unbeaten 84 he exhausted every ounce of strength, talent and willpower and then when he imagined it might be all over he came out to bat once more to help win a Super Over by the narrowest of margins."
72,Liam Livingstone,,England,Right hand Bat,Legbreak,Batting Allrounder,"The sense that Liam Livingstone is a domineering batting talent who will end up playing all three formats for England was strengthened by an excellent maiden Championship double-century for Lancashire against Warwickshire at Old Trafford in 2017. He had begun the season billed as the ""belligerent face of England's next generation"" after a successful England Lions tour of Sri Lanka, and England took an early look at him with two T20 appearances against South Africa before deciding that he needed more time to craft his game at county level. That double-hundred suggested his research was coming along just fine."
73,Harry Brook,,England,Right hand Bat,Right arm Medium,Batter,"A former England U19s captain, Harry Brook announced himself as a player with a bright future with a remarkable T20 Blast season in 2020, averaging 55 and striking at 163 in the group stages despite batting in the middle order."
74,Moeen Ali,,England,Left hand Bat,Right arm Offbreak,Batting Allrounder,"Moeen Ali was tipped for the top long before he won his Test debut at the start of 2014. But, after building a reputation as an elegant batter, it was his offspin bowling that earned him the call-up when England were left reeling from the surprise retirement of Graeme Swann."
75,Chris Woakes,,England,Right hand Bat,Right arm Fast medium,Allrounder,"By the time Chris Woakes returned from England's tour to South Africa at the start of 2016, he feared his Test career was over. He was 27 by then and had played six Tests. But, despite bowling respectably on almost every outing, he had never quite made the breakthrough and an average of 63.75 made dispiriting reading. It looked as if he may be remembered as one of England's nearly men."
76,Mark Wood,,England,Right hand Bat,Right arm Fast,Bowler,"It looked, for a while, as if Mark Wood would be another of those fast bowlers who promised more than they delivered."
77,Sam Curran,,England,Left hand Bat,Left arm Medium fast,Allrounder,"Sam Curran, younger brother of Tom Curran, his fellow Surrey all-rounder, and son of the former Zimbabwe cricketer Kevin Curran, fulfilled his destiny at the age of 19 years and 363 days, when he made his Test debut against Pakistan at Headingley in June 2018. One Test later, he scooped his maiden Man-of-the-Match award, after four first-innings wickets and a thrilling counter-attacking half-century had given England the edge in a gripping Edgbaston Test against India. His success merely heightened the debate as to whether batting or bowling will ultimately become his strongest suit. "
78,Adil Rashid,,England,Right hand Bat,Legbreak,Bowler,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
79,Mohammad Nabi,,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage."
80,Muhammad Waseem,,U.A.E.,Right hand Bat,Right arm Medium,Opening Batter,
81,Vriitya Aravind,,U.A.E.,Right hand Bat,,Wicketkeeper,
82,Chundangapoyil Rizwan(c),,U.A.E.,Right hand Bat,Legbreak Googly,Middle order Batter,
83,Alishan Sharafu,,U.A.E.,Right hand Bat,Right arm Medium,Opening Batter,
84,Basil Hameed,,U.A.E.,Right hand Bat,Right arm Offbreak,Middle order Batter,
85,Zane Green,,Namibia,Left hand Bat,,Wicketkeeper Batter,
86,Ruben Trumpelmann,,Namibia,Right hand Bat,Left arm Fast,Bowler,
87,Junaid Siddique,,U.A.E.,Right hand Bat,Right arm Medium fast,Bowler,
88,Zahoor Khan,,U.A.E.,Right hand Bat,Right arm Medium fast,Bowler,
89,Ahmed Raza,,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowler,"Six-foot-five Ahmed Raza is best known for his economical spells of left-arm spin. In a must-win World Cricket Division Two game for UAE against Oman in 2018, he conceded only 16 runs in nine overs for two wickets, and in an Asia Cup match against Oman in 2016, he took 1 for 6 from three overs. "
90,Karthik Meiyappan,,U.A.E.,Right hand Bat,Legbreak,Bowler,
91,Aayan Afzal Khan,,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
92,Chirag Suri,,U.A.E.,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter,"Two days after his 22nd birthday, opening batter Chirag Suri was bought in the 2017 IPL auction by Gujarat Lions. It was quite the birthday present, considering he had not even been capped in internationals for UAE. Suri never suited up for Lions, but he has demonstrated his talents in the time since his UAE international debut, also in 2017, rocketing up the career batting charts to figure among the top five run-makers in both ODIs and T20Is for his country. "
93,Kashif Daud,,U.A.E.,Right hand Bat,Right arm Medium fast,Bowling Allrounder,
94,Zawar Farid,,U.A.E.,Right hand Bat,Right arm Medium,Bowler,
95,Vikramjit Singh,,Netherlands,Left hand Bat,Right arm Medium fast,Opening Batter,
96,Max O'Dowd,,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter,
97,Bas de Leede,,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder,
98,Colin Ackermann,,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder,"Having relinquished his South African qualification to sign a contract with Leicestershire, taking advantage of an EU passport, Colin Ackermann was part of the late-2010s exodus that rocked cricket in his home country. Although less heralded at the time, Ackermann was a former South Africa U-19 who had topped the Sunfoil averages in 2016-17, and might have been in contention for a Test call-up had he not taken the well-trodden English county route."
99,Tom Cooper,,Netherlands,Right hand Bat,Right arm Offbreak,Middle order Batter,"An aggressive batsman who was born in Wollongong, in New South Wales - the
same coastal city which produced Brett Lee - Tom Cooper now plays his club
cricket for University in Adelaide. An Australian Under-19 representative - he made 104 against South Africa in the 2005-06 Youth World Cup - Cooper broke into the senior South Australian side in November 2008."
100,Scott Edwards(c),,Netherlands,Right hand Bat,,Wicketkeeper Batter,
101,Roelof van der Merwe,,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,Tidy left-arm spinner and hard-hitting batter Roelof van der Merwe is one of a small set of cricketers to have represented two international teams.
102,Tim Pringle,,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,
103,Logan van Beek,,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,"Logan van Beek is an allrounder in more ways than one. As a cricketer, he compares his play to that of Shane Watson, he also represented New Zealand at the World Under-19 Basketball Championships in 2009, and he works as a sports coach. Named in the New Zealand squad for the Under-19 World Cup in 2010, van Beek is the grandson of Sammy Guillen, who played Test cricket for both West Indies and New Zealand.Cricinfo staff January 2010"
